Company Symbol,Igroup,financial_year,Element_Id,Element_Name,P&L Cateogry,Calculated_Value
BHARTIARTL,Telecom - Services,2023,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.40302E+12
BHARTIARTL,Telecom - Services,2023,60035,OtherExpenses,Expenses,2.28157E+12
BHARTIARTL,Telecom - Services,2023,60039,ProfitBeforeTax,Profit,4.70174E+11
BHARTIARTL,Telecom - Services,2023,60042,TaxExpense,Tax,1.29292E+11
BHARTIARTL,Telecom - Services,2023,60049,ProfitLossForPeriod,Profit,3.40882E+11
BHARTIARTL,Telecom - Services,2023,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2023,600002,Gross Margin,Profit,5.07756E+12
BHARTIARTL,Telecom - Services,2023,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2023,600004,EBIDTA/ Operating Profit,Profit,2.64563E+12
BHARTIARTL,Telecom - Services,2023,600005,Operating Profit%,Profit,52.10428703691121114600
BHARTIARTL,Telecom - Services,2023,600005,PBT%,Profit,9.25983587008176954200
BHARTIARTL,Telecom - Services,2023,600006,PAT%,Profit,6.71349621855996666100
BHARTIARTL,Telecom - Services,2024,60026,RevenueFromOperations,Revenue / Income,5.46652E+12
BHARTIARTL,Telecom - Services,2024,60027,OtherIncome,Revenue / Income,62052000000
BHARTIARTL,Telecom - Services,2024,60028,Income,Revenue / Income,5.52857E+12
BHARTIARTL,Telecom - Services,2024,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2024,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2024,60032,EmployeeBenefitExpense,Expenses,1.6789E+11
BHARTIARTL,Telecom - Services,2024,60033,FinanceCosts,Expenses,8.32341E+11
BHARTIARTL,Telecom - Services,2024,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.53042E+12
BHARTIARTL,Telecom - Services,2024,60035,OtherExpenses,Expenses,2.40879E+12
BHARTIARTL,Telecom - Services,2024,60039,ProfitBeforeTax,Profit,5.89136E+11
BHARTIARTL,Telecom - Services,2024,60042,TaxExpense,Tax,1.45209E+11
BHARTIARTL,Telecom - Services,2024,60049,ProfitLossForPeriod,Profit,4.43927E+11
BHARTIARTL,Telecom - Services,2024,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2024,600002,Gross Margin,Profit,5.52857E+12
BHARTIARTL,Telecom - Services,2024,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2024,600004,EBIDTA/ Operating Profit,Profit,2.9519E+12
BHARTIARTL,Telecom - Services,2024,600005,Operating Profit%,Profit,53.39345252382486402900
BHARTIARTL,Telecom - Services,2024,600005,PBT%,Profit,10.65620368945114770100
BHARTIARTL,Telecom - Services,2024,600006,PAT%,Profit,8.02968505616187034200
BHARTIARTL,Telecom - Services,2025,60026,RevenueFromOperations,Revenue / Income,1.31881E+12
BHARTIARTL,Telecom - Services,2025,60027,OtherIncome,Revenue / Income,13213000000
BHARTIARTL,Telecom - Services,2025,60028,Income,Revenue / Income,1.33203E+12
BHARTIARTL,Telecom - Services,2025,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2025,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2025,60032,EmployeeBenefitExpense,Expenses,40116000000
BHARTIARTL,Telecom - Services,2025,60033,FinanceCosts,Expenses,1.81159E+11
